Algoritam,Train Accuracy,Train F1-macro,Test Accuracy,Test F1-macro,Varijanta
Logistic Regression,0.9942,0.9848,0.9845,0.9624,Full (svi atributi)
K-Nearest Neighbors,0.969,0.9254,0.938,0.8297,Full (svi atributi)
Decision Tree,1.0,1.0,0.9922,0.976,Full (svi atributi)
Random Forest,0.9942,0.9875,0.9845,0.9725,Full (svi atributi)
SVM (RBF),1.0,1.0,0.9612,0.8827,Full (svi atributi)
Naive Bayes,0.9864,0.9704,0.9612,0.896,Full (svi atributi)
Logistic Regression,0.9864,0.9687,0.9845,0.9624,PCA90 (90% varijanse)
K-Nearest Neighbors,0.9593,0.8985,0.9457,0.8565,PCA90 (90% varijanse)
Decision Tree,1.0,1.0,0.876,0.7129,PCA90 (90% varijanse)
Random Forest,0.9671,0.9382,0.9147,0.7876,PCA90 (90% varijanse)
SVM (RBF),0.9981,0.994,0.969,0.9087,PCA90 (90% varijanse)
Naive Bayes,0.9864,0.9612,0.9535,0.8644,PCA90 (90% varijanse)
Logistic Regression,0.9903,0.9756,0.9845,0.9623,PCA95 (95% varijanse)
K-Nearest Neighbors,0.9632,0.9071,0.9535,0.8701,PCA95 (95% varijanse)
Decision Tree,1.0,1.0,0.907,0.7683,PCA95 (95% varijanse)
Random Forest,0.9632,0.932,0.907,0.775,PCA95 (95% varijanse)
SVM (RBF),0.9981,0.994,0.969,0.9087,PCA95 (95% varijanse)
Naive Bayes,0.9845,0.9577,0.9457,0.8445,PCA95 (95% varijanse)
Logistic Regression,0.9787,0.9519,0.9767,0.9588,KBest50 (mutual_info)
K-Nearest Neighbors,0.9729,0.9209,0.9845,0.952,KBest50 (mutual_info)
Decision Tree,1.0,1.0,0.9767,0.9373,KBest50 (mutual_info)
Random Forest,0.9922,0.9816,0.9845,0.9725,KBest50 (mutual_info)
SVM (RBF),0.9981,0.994,0.9845,0.9536,KBest50 (mutual_info)
Naive Bayes,0.9671,0.9258,0.9845,0.9623,KBest50 (mutual_info)
